,Title,Release date,Share of positive reviews (in %),Total number of reviews,Normal price (€),Discounted price if there is a sale (€),Sale rate (in %)
433,Trine Enchanted Edition,2009-07-02,95,8860,14.99,,
434,Hyperdimension Neptunia Re;Birth1,2015-01-29,95,8952,12.49,,
435,Daniel's Games,,95,8724,9.74,,
436,LISA: Complete Edition,,95,8736,16.99,,
437,LISA: The Painful,2014-12-15,95,8101,9.99,,
438,ISLANDERS,2019-04-04,95,8191,4.99,,
439,Pony Island + Soundtrack,,95,8038,4.99,,
440,Blade and Sorcery,2018-12-11,95,8101,19.99,,
441,Pony Island,2016-01-04,95,7997,3.99,,
442,Zup! [11-15],,95,7797,3.73,,
443,AudioSurf,2008-02-15,95,7819,9.99,,
444,Logic Puzzle Pack,,95,7760,13.55,,
445,STAR WARS™ Jedi Knight - Jedi Academy™,2009-09-16,95,7165,8.19,,
446,LEGO® Star Wars™ - The Complete Saga,2009-11-12,95,6941,16.79,,
447,Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad,2015-09-02,95,6669,0.99,,
448,Half-Life: Opposing Force,1999-11-01,95,6547,3.99,,
449,Lucy -The Eternity She Wished For-,2016-02-28,95,6046,9.99,,
450,"Warhammer® 40,000: Dawn of War® - Soulstorm",2008-03-05,95,5751,12.99,,
451,Machinarium Collector's Edition,,95,5350,16.98,,
452,Machinarium,2009-10-16,95,5324,14.99,,
453,GORN,2019-07-18,95,5090,19.99,,
454,Zup! 2,2016-12-05,95,5102,0.99,,
455,Long Live The Queen,2013-11-08,95,5020,8.99,,
456,Beat Hazard Epic Bundle,,95,4836,15.97,3.81,76.0
457,EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,2016-07-18,95,4694,16.79,,
458,Beat Hazard,2010-04-15,95,4706,6.99,2.09,70.0
459,Spyro™ Reignited Trilogy,2019-09-03,95,4059,39.99,,
460,Knuckle Cracker Universal Collection,,95,3806,39.55,,
461,The Jackbox Party Trilogy,,95,3484,55.17,,
462,SENRAN KAGURA ESTIVAL VERSUS,2017-03-17,95,3393,29.99,,
463,SYNTHETIK: Legion Rising,2018-03-15,95,3247,19.99,,
464,Cave Story+,2011-11-21,95,3245,14.99,,
465,QUAKE,2007-08-03,95,3196,4.99,,
466,Reventure,2019-06-04,95,3177,4.99,,
467,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2007-08-07,95,3166,12.99,,
468,"Cook, Serve, Delicious!",2013-10-08,95,3077,9.99,,
469,Turok Bundle,,95,3057,29.98,,
470,The Test Summoning Twins Naked News Horrorscope Bundle,,95,3025,11.93,8.22,31.0
471,Crazy Machines 3,2016-10-18,95,2950,9.99,,
472,The Horrorscope Test Bundle,,95,2964,6.36,5.58,12.0
473,Don't Starve: Shipwrecked,2015-12-01,95,2880,4.99,,
474,Lethal League,2014-08-27,95,2861,11.99,,
475,Yakuza Kiwami 2,2019-05-09,95,2803,29.99,,
476,Epistory - Typing Chronicles,2016-03-30,95,2788,14.99,,
477,Epistory - Typing Chronicles,2016-03-30,95,2788,14.99,,
478,Hyperdimension Neptunia Re;Birth3 Digital Complete Set / デジタルコンプリートエディション / 完全豪華組合包,,95,2713,26.84,,
479,The Legend of Heroes: Trails of Cold Steel,2017-08-02,95,2692,39.99,,
480,Wuppo: Definitive Edition,2016-09-29,95,2678,14.99,,
481,Airships: Conquer the Skies Soundtrack Edition,,95,2700,18.54,,
482,Airships: Conquer the Skies,2018-08-16,95,2699,14.99,,
483,HIVESWAP: Act 1,2017-09-14,95,2676,6.49,,
484,Hyperdimension Neptunia Re;Birth3 V Generation,2015-10-30,95,2605,12.49,,
485,Rusty Lake: Roots,2016-10-20,95,2527,2.99,,
486,Shotgun Farmers,2019-03-08,95,2539,8.19,,
487,The Secret of Monkey Island: Special Edition,2009-07-15,95,2480,8.19,,
488,Megadimension Neptunia VII Digital Deluxe Edition,,95,2409,21.42,,
489,Megadimension Neptunia VII,2016-07-05,95,2369,16.79,,
490,Zenge,2016-04-12,95,2294,0.99,,
491,Evil Genius,2009-06-22,95,2246,9.99,,
492,泡沫冬景,2020-01-02,95,2215,12.49,,
493,Space Pirate Trainer,2017-10-12,95,2213,14.99,,
494,Baroque Decay Collection,,95,2175,21.32,,
495,SpaceChem,2011-03-02,95,1969,9.99,,
496,Bundle &amp; Destiny,,95,1966,19.98,5.76,71.0
497,SHENZHEN I/O,2016-11-17,95,1960,14.99,,
498,The Test,2020-02-24,95,1959,1.59,,
499,Slap City,2018-03-05,95,1910,8.19,,
500,TowerFall Ascension,2014-03-11,95,1917,14.99,,
501,Chroma Squad,2015-04-30,95,1898,12.49,,
502,Peggle Complete,2009-04-10,95,1815,8.99,,
503,Turok,2015-12-17,95,1824,19.99,,
504,MO:Astray + original soundtrack,,95,1761,15.26,,
505,MO:Astray,2019-10-24,95,1754,12.49,,
506,Insaniquarium Deluxe,2006-08-30,95,1749,4.99,,
507,Contradiction - Spot The Liar!,2015-07-10,95,1681,9.99,,
508,Total Annihilation,2015-12-18,95,1649,4.99,,
509,Mad Father,2016-09-22,95,1611,4.99,,
510,Super Amazing Wagon Adventure,2013-10-17,95,1580,2.39,,
511,Tiny Snow,2019-02-27,95,1553,3.29,,
512,Ikaruga,2014-02-18,95,1503,8.99,,
513,Zero Escape: The Nonary Games,2017-03-24,95,1463,24.99,,
514,The Thrill of the Fight - VR Boxing,2019-10-24,95,1421,9.99,,
515,Yuppie Psycho,2019-04-25,95,1398,16.66,,
516,Infinifactory,2015-06-30,95,1386,22.99,,
517,Horizon Chase Turbo,2018-05-15,95,1352,16.79,,
518,Grim Legends Collection,,95,1341,19.89,,
519,Zup! 7,2017-12-12,95,1323,0.99,,
520,Brigador Deluxe Edition,,95,1317,23.7,,
521,Brigador: Up-Armored Edition,2016-06-02,95,1295,15.99,,
522,The Legend of Heroes: Trails of Cold Steel II,2018-02-14,95,1273,39.99,,
523,ACE Academy,2016-08-22,95,1212,19.99,,
524,Turok 2: Seeds of Evil,2017-03-16,95,1233,19.99,,
525,Sid Meier's Civilization V: Brave New World,2013-07-08,95,1175,29.99,,
526,Monster Sanctuary,2019-08-28,95,1149,15.99,,
527,APE OUT,2019-02-28,95,1107,14.99,,
528,SEUM: Speedrunners from Hell,2016-07-28,95,1045,14.99,,
529,Shantae and the Pirate's Curse,2015-04-23,95,1005,19.99,,
530,Assault Android Cactus+,2015-09-23,95,990,16.79,,
531,Crimzon Clover WORLD IGNITION,2014-06-06,95,932,9.99,,
532,Love at First Sight,2015-05-18,95,888,9.99,,
533,Unavowed,2018-08-08,95,858,14.99,,
534,Journey of Greed,2019-10-23,95,846,5.69,,
535,Impossible Creatures Steam Edition,2015-11-11,95,843,9.99,,
536,Umineko When They Cry Complete Collection,,95,802,70.27,,
537,Kao the Kangaroo: Round 2,2019-05-31,95,801,,,
538,Cattails | Become a Cat!,2017-12-01,95,785,14.99,,
539,The Jackbox Party Pack 6,2019-10-16,95,787,24.99,,
540,Lost Lands Collection,,95,767,39.34,27.82,29.0
541,Pilgrims,2019-10-07,95,766,4.99,,
542,Siralim 3,2018-10-15,95,749,12.49,,
543,The Talos Principle: Road To Gehenna,2015-07-23,95,725,14.99,,
544,The Jackbox Party Pack 2,2015-10-13,95,717,22.99,,
545,Heave Ho,2019-08-29,95,719,9.99,,
546,Master of Orion 1 + 2,2016-08-25,95,696,5.99,,
547,Pesterquest,2019-09-04,95,693,9.99,,
548,American Truck Simulator - Oregon,2018-10-04,95,669,11.99,,
549,Binding of Isaac: Wrath of the Lamb,2012-05-28,95,640,2.99,,
550,Super Panda Adventures,2014-07-14,95,632,3.99,0.99,75.0
551,Zup! 9,2019-06-24,95,621,0.79,,
552,D'LIRIUM,2017-08-25,95,623,3.29,,
553,UnReal World,2016-02-26,95,605,10.99,,
554,KAMI,2014-01-23,95,602,3.99,,
555,Technobabylon,,95,601,14.99,,
556,Cogmind,2017-10-16,95,583,19.99,,
557,Lords of the Realm II,2015-12-03,95,579,2.99,,
558,Jamestown,2011-06-08,95,584,8.19,,
559,Grisaia Phantom Trigger Vol. 1-6 Bundle,,95,576,87.68,,
560,Zuma's Revenge!,2009-09-15,95,578,4.99,,
561,Ara Fell: Enhanced Edition,2016-06-02,95,572,12.49,,
562,Dark Comedy Bundle,,95,561,6.68,,
563,The Dishwasher: Vampire Smile,2017-05-12,95,545,9.99,,
564,Grim Legends: The Forsaken Bride,2014-08-21,95,541,7.99,,
565,ZeroRanger,2018-09-28,95,512,11.99,,
566,Miracle snack shop 기적의 분식집 Philia after story,2019-04-01,100,249,2.39,,
567,祈風 Inorikaze,2019-02-13,100,185,8.99,,
568,Making*Lovers,2020-04-03,100,170,24.99,,
569,Touhou Kishinjou ~ Double Dealing Character.,2019-06-18,100,127,12.49,,
570,Graze Counter,2017-07-28,100,111,9.99,,
571,Deliverance: The Making of Kingdom Come,2018-12-20,100,103,3.99,,
572,The Void Rains Upon Her Heart,2018-02-14,100,101,8.19,,
573,Lost Lands: Dark Overlord,2015-06-26,100,100,6.99,2.44,65.0
574,missed messages - Fan Pack,2019-05-28,100,92,3.99,,
575,"Kid,napper - Extra Content",2018-05-31,100,84,0.79,,
576,Monster Hunter: World - Additional Gesture Bundle 8,,100,81,3.02,,
577,Monster Hunter: World - Gesture: Devil May Cry Dual Guns,2018-11-15,100,79,3.99,,
578,Danmaku Amanojaku ~ Impossible Spell Card.,2019-04-01,100,76,8.99,,
579,100% Orange Juice - Breaker Pack,2016-06-07,100,75,3.29,,
580,Monster Hunter: World - Gesture: Pop Star Dance,2019-01-24,100,74,1.99,,
581,Barrage Musical ~ Basic Danmaku Tutorial ~ / 弹幕音乐绘 ~ 基础教学篇 ~,2019-12-13,100,72,1.59,,
582,Knock Harder,2020-04-27,100,71,8.19,,
583,Fox Hime Zero - MoriChan,2018-06-25,100,71,1.59,,
584,Helltaker: Artbook + Pancake Recipe,2020-05-11,100,69,8.19,,
585,HGFaceDD,2020-03-03,100,69,11.59,,
586,SLAYERS FOR HIRE,2020-03-20,100,69,8.19,,
587,AshenForest,2020-01-24,100,66,5.69,,
588,Fire Pro Wrestling World - Yoshihiro Takayama Charity DLC,2017-12-18,100,64,2.99,,
589,Warhammer: Vermintide 2 Cosmetic - Stolen Swine,2020-01-23,100,63,3.99,,
590,Changed-OST,2018-04-18,100,63,1.59,,
591,100% Orange Juice - Character Song Pack: Ultimate Weapon Girl,2019-06-25,100,63,3.29,,
592,Epic Conquest 2,2020-04-19,100,62,6.59,,
593,Wide Ocean Big Jacket,2020-02-04,100,62,6.59,,
594,Devil May Cry 5 Original Soundtrack,2019-03-19,100,60,29.99,,
595,Magical Diary: Wolf Hall,2020-02-17,100,59,20.99,,
596,Shapik: The Moon Quest,2020-04-22,100,58,6.59,,
597,100% Orange Juice - Krila &amp; Kae Character Pack,2015-06-12,100,58,2.39,,
598,Lily's Night Off,2018-08-19,100,58,6.59,,
599,RefRain - prism memories -,2016-05-12,100,57,14.99,,
600,OneShot OST,2017-01-26,100,57,5.99,,
601,Battle Brothers - Support the Developers &amp; Kraken Banner,2018-11-29,100,56,10.0,,
602,Nekojishi Original Soundtrack,2017-12-19,100,55,9.99,,
603,Coffee for Coding,2016-06-22,100,55,6.99,,
604,"Warhammer 40,000: Gladius - T'au",2020-02-25,100,54,12.49,,
605,Apple Slash,,100,54,3.29,,
606,Paper Memories - Comics from Finding Paradise &amp; To the Moon,2019-03-08,100,53,1.59,,
607,Monster Hunter World: Iceborne - Pendant: Rainbow Balloons,2020-04-08,100,52,0.99,,
608,Little Mouse's Encyclopedia,2019-02-25,100,52,4.99,,
609,BlazBlue Cross Tag Battle Ver 2.0 Expansion Pack,2019-11-20,100,50,24.99,,
610,Epiphyllum in Love,2020-03-16,99,449,3.29,,
611,Hello Charlotte EP3: Childhood's End,2018-01-04,99,404,2.99,,
612,Flowers -Le volume sur ete-,2018-07-26,99,377,16.79,,
613,Lair of the Clockwork God,2020-02-21,99,326,16.79,,
614,Euro Truck Simulator 2 - Pink Ribbon Charity Pack,2019-10-01,99,308,1.99,,
615,Maiden and Spell,2020-02-24,99,271,10.79,,
616,Higurashi When They Cry Hou - Ch.3 Tatarigoroshi,2016-06-17,99,216,7.99,,
617,Open Sorcery,2017-02-22,99,214,3.99,,
618,A Summer's End - Hong Kong 1986,2020-04-23,99,200,12.49,,
619,Spring Falls,2019-11-17,99,174,5.69,,
620,Spring Falls + Soundtrack,,99,174,8.08,,
621,Monster Hunter World: Iceborne - Pendant: Strollin' Paolumu,2020-04-08,99,162,0.99,,
622,Heroines of Swords &amp; Spells,2020-03-17,99,134,5.69,,
623,Rabi-Ribi - Digital Artbook,2016-03-31,99,124,5.99,,
624,American Truck Simulator - Pink Ribbon Charity Pack,2019-10-01,99,115,1.99,,
625,Youropa,2018-06-27,99,112,15.99,7.99,50.0
626,Noel The Mortal Fate S8,2018-10-22,99,107,2.39,,
627,Rabi-Ribi - Original Soundtrack,2016-01-28,99,105,5.99,,
628,El Tango de la Muerte,2018-04-24,99,104,4.99,,
629,Dishonored - The Knife of Dunwall,2013-04-16,99,101,4.99,,
630,Lucy -The Eternity She Wished For- Ending Theme OST,2017-06-05,99,100,1.99,,
631,fpsVR,2018-09-11,98,496,3.29,,
632,千面 Melancholy Love,2020-01-02,98,486,3.99,,
633,Later Alligator,2019-09-18,98,452,14.99,,
634,Little Busters! English Edition,2017-11-01,98,405,31.99,,
635,Deep Rock Galactic - Supporter Upgrade,2018-02-28,98,400,14.99,,
636,Castle Crashers - Pink Knight Pack,2012-09-26,98,399,0.99,,
637,Summer Pockets,2020-02-05,98,386,37.99,,
638,Paint it Back,2015-10-14,98,380,7.99,,
639,Project Arrhythmia,2019-06-14,98,378,9.99,,
640,Nightshade Additional Scenarios + Soundtrack Bundle,,98,369,41.57,,
641,Nightshade Additional Scenarios Bundle,,98,367,31.98,,
642,Nightshade／百花百狼,2017-04-11,98,360,31.99,,
643,Higurashi When They Cry Hou - Ch.2 Watanagashi,2015-11-13,98,340,7.99,,
644,Sakuya Izayoi Gives You Advice And Dabs,2020-02-10,98,336,0.79,,
645,Hidden in Plain Sight,2014-07-16,98,333,5.99,,
646,Ding Dong XL,2018-06-15,98,332,0.79,,
647,Shipped,2019-03-28,98,317,5.99,,
648,Monster Hunter: World - Gesture Pack,,98,306,20.24,,
649,Deathsmiles,2016-03-10,98,304,19.99,,
650,Zombie Estate 2,2017-01-13,98,282,4.99,,
651,Heart of the Woods,2019-02-15,98,270,12.49,,
652,Under Leaves,2017-04-27,98,270,4.99,,
653,Touhou Kikamu ~ Elegant Impermanence of Sakura,2020-04-16,98,248,11.59,,
654,9-nine-:Episode 2,2019-08-16,98,249,16.79,,
655,The Expression Amrilato,2019-06-21,98,244,19.99,,
656,Blackberry Honey,2017-10-24,98,245,12.99,,
657,Frog Detective 2: The Case of the Invisible Wizard,2019-12-09,98,223,3.99,,
658,Recursed,2016-09-30,98,219,6.59,,
659,Clea / 克莉,2019-07-10,98,211,6.59,,
660,爱丽娅的明日盛典！原声集同捆豪华包,,98,211,33.99,,
661,Assetto Corsa Competizione - Intercontinental GT Pack,2020-02-04,98,210,14.99,,
662,ALIA’s CARNIVAL！,2019-11-15,98,207,24.99,,
663,Hollow Knight - Official Soundtrack,2017-02-24,98,195,9.99,,
664,Battlefield: Bad Company 2 Vietnam,2010-12-18,98,193,14.99,,
665,Dark Deception Complete,2019-01-29,98,191,16.79,8.39,50.0
666,Amairo Chocolate,2020-03-19,98,182,20.99,,
667,Arcade Spirits,2019-02-12,98,179,16.99,,
668,Rocksmith® 2014 - The Smashing Pumpkins  - “Cherub Rock”,2013-10-22,98,174,2.99,,
669,Umineko When They Cry - Answer Arcs,2017-11-17,98,170,27.99,,
670,Assetto Corsa - Ready To Race Pack,2017-05-18,98,161,4.99,,
671,Isoland 2 - Ashes of Time,2018-05-01,98,159,2.99,,
672,Assetto Corsa - Dream Pack 3,2015-12-15,98,153,6.99,,
673,The Procession to Calvary,2020-04-09,98,148,8.99,,
674,Nauticrawl,2019-09-16,98,140,12.49,,
675,The House in Fata Morgana: A Requiem for Innocence,2018-05-17,98,125,12.49,,
676,Hyperdimension Neptunia Re;Birth1 Plutia Battle Entry,2015-01-29,98,117,0.99,,
677,Gachi Finder 3000,2019-01-08,98,115,0.79,0.39,51.0
678,ATOM RPG - Supporter Pack,2019-06-21,98,115,3.99,,
679,Vectronom,2019-05-28,98,114,9.99,,
680,Sankaku Renai: Love Triangle Trouble,2019-05-31,98,112,24.99,,
681,Duck Souls,2018-09-06,98,112,1.59,,
682,Puppy Cross,2020-02-11,98,111,9.99,,
683,One Way Heroics Plus,2015-08-17,98,107,5.99,,
684,Mirror: Songs of the Maidens,2019-01-17,98,103,1.59,,
685,Touhou Shinreibyou ~ Ten Desires.,2019-06-18,98,102,12.49,,
686,Skullgirls: Squigly,2013-08-22,98,93,1.99,,
687,Monster Hunter: World - Pose Set: Weapon Pose (3),2020-03-11,98,88,3.99,,
688,Hoshizora no Memoria -Wish upon a Shooting Star-,2017-12-18,98,88,19.99,,
689,Einlanzer,2017-03-01,98,86,3.29,,
690,Rising Storm Game of the Year Edition,2013-05-30,98,81,17.99,,
691,RESIDENT EVIL 2 - Claire Costume: Elza Walker,2019-01-24,98,77,2.99,,
692,Galaxy Trucker: Extended Edition,2019-03-07,98,76,9.99,,
693,If My Heart Had Wings - Original Sound Track,2015-03-02,98,76,4.99,1.24,75.0
694,Mini Island Challenge Bundle,,98,75,10.35,4.76,54.0
695,Flappatron,2019-07-25,98,75,3.29,,
696,Togainu no Chi ~Lost Blood~,2020-02-25,98,74,16.79,,
697,Golf Peaks,2018-11-13,98,74,3.99,,
698,"The Disappearing of Gensokyo: Sakuya, Koishi, Suika Character Pack",2018-01-12,98,74,2.99,,
699,Grisaia Phantom Trigger Vol.5,2018-07-26,98,70,12.49,,
700,Hidden Paws Mystery,2018-12-18,98,70,3.99,,
701,Gaokao.Love.100Days - Original Soundtrack,2015-06-26,98,70,2.99,,
702,SENRAN KAGURA ESTIVAL VERSUS - Ikki Tōsen,2017-03-17,98,69,8.99,,
703,Project CARS - Old Vs New Car Pack,2015-08-27,98,69,3.49,,
704,100% Orange Juice - Suguri &amp; Hime Winter Costumes,2017-01-31,98,69,0.99,,
705,Ouroboros,2018-05-25,98,69,4.99,,
706,Dishonored: The Brigmore Witches,2013-08-13,98,69,4.99,,
707,Sandwich Sudoku,2019-08-19,98,68,4.99,,
708,Smell of the Game (NEW GUILTY GEAR Promotion Music),2020-01-21,98,68,0.99,,
709,LobotomyCorporation_ArtBook,2018-07-13,98,67,8.19,,
710,Storycentric Worlds,,98,67,15.98,,
711,東周列萌志 Philosophic Love－升級包 Update Pack,2018-08-17,98,66,14.99,,
712,Grisaia Phantom Trigger Vol.4,2018-01-25,98,66,14.99,,
713,東周列萌志 Philosophic Love－設定集組合包 Art Book Bundle（升級包 Update Pack＋攻略設定集 Art Book）,,98,66,20.86,,
714,Wayhaven Chronicles: Book Two,2020-05-07,98,62,5.69,,
715,Mushroom Cats 2,2020-04-24,98,62,0.79,,
716,CrossCode - Ninja Skin,2018-12-13,98,61,0.79,,
717,Hyperdimension Neptunia Re;Birth1 Peashy Battle Entry,2015-01-29,98,61,0.99,,
718,Rising Storm 2: Vietnam - Rear Echelon Cosmetic DLC,2018-05-29,98,60,7.99,,
719,EXA: The Infinite Instrument,2020-01-14,98,60,14.99,,
720,The Lion's Song - Soundtrack Edition,,98,60,9.86,,
721,A Story Beside,2019-09-26,98,59,8.19,,
722,The Walking Vegetables,2017-09-27,98,58,9.99,,
723,Monster Hunter: World - Additional Sticker Set Bundle 1,,98,58,3.02,,
724,Karate Cat,2019-10-10,98,58,0.79,,
725,Paperball,2020-03-27,98,57,9.99,,
726,SculptrVR,2016-04-04,98,57,8.19,,
727,Pathologic 2: Marble Nest,2019-10-28,98,57,8.19,,
728,Giants: Citizen Kabuto,2016-12-02,98,56,9.99,,
729,NEKOPARA Vol. 2 - Theme Song,2016-02-19,98,56,9.99,,
730,Euro Truck Simulator 2 - Norwegian Paint Jobs Pack,2015-05-06,98,56,0.99,,
731,100% Orange Juice - Saki &amp; Kyousuke Character Pack,2014-11-27,98,56,2.39,,
732,Colorzzle,2018-08-10,98,56,1.59,,
733,100% Orange Juice - Sham &amp; Sherry Character Pack,2015-12-08,98,55,2.39,,
734,Dungeon Scavenger and DLC,,98,55,7.41,,
735,Dreamscaper: Prologue - Supporter's Edition,2020-04-08,98,54,3.99,,
736,Monolith: Relics of the Past,2019-12-25,98,54,5.69,,
737,Crypt of the Necrodancer Original Danny Baranowsky Soundtrack,2014-07-30,98,54,9.99,,
738,Raindrops,2020-04-24,98,53,3.99,,
739,Path of Giants,2020-02-14,98,53,7.39,,
740,Jurassic World Evolution: Herbivore Dinosaur Pack,2019-09-17,98,50,4.99,,
741,SYNTHETIK - All the things Bundle,,98,50,12.72,,
742,Doughlings Bundle,,98,50,10.35,,
743,Chicken Invaders 5,2015-03-13,97,492,4.99,,
744,Hacknet - Labyrinths,2017-03-31,97,479,6.99,,
745,Zup! F,2019-12-11,97,474,0.79,,
746,Umineko When They Cry - Question Arcs,2016-07-08,97,473,22.99,,
747,Blackwell Epiphany,2014-04-24,97,463,9.99,4.99,50.0
748,The Test: Hypothesis Rising,2020-04-27,97,449,1.59,,
749,沉睡的法则 Things as They Are,2019-06-17,97,442,4.99,3.94,21.0
750,Castle Crashers - Blacksmith Pack,2012-09-26,97,442,0.99,,
751,Broken Reality,2018-11-29,97,438,14.99,,
752,Levelhead,2020-04-30,97,435,16.79,,
753,Scalak,2018-05-22,97,399,1.59,,
754,Touhou Kanjuden ~ Legacy of Lunatic Kingdom.,2019-04-01,97,397,12.49,,
755,No Time,2019-04-14,97,389,8.99,,
756,PLAYNE : The Meditation Game,2020-05-01,97,391,12.49,,
757,沙雕之路,2019-09-26,97,381,5.69,,
758,Baldr Sky,2019-12-20,97,363,41.99,,
759,Transistor: Original Soundtrack,2014-05-20,97,349,8.19,,
760,My Brother Rabbit,2018-09-21,97,347,14.99,,
761,Nightmares from the Deep 3: Davy Jones,2015-01-29,97,335,7.99,2.39,70.0
762,喵可莉的兔玩偶 - Nyakori's Rabbit Doll,2020-02-02,97,314,2.39,,
763,Pinkman,2017-01-16,97,307,0.99,,
764,Little Big Adventure 2,2015-10-20,97,296,3.99,,
765,Remnants of Naezith,2018-02-05,97,295,9.99,,
766,Splasher,2017-02-07,97,297,14.99,,
767,Super Ledgehop: Double Laser,2018-11-16,97,291,0.79,,
768,Creeper World: Anniversary Edition,2016-11-16,97,288,4.99,,
769,The World is Your Weapon,2019-06-27,97,282,8.19,,
770,逝去的回忆3：四叶草之梦,2019-08-16,97,274,8.19,,
771,PAYDAY: The Heist Soundtrack,2012-10-18,97,278,3.99,,
772,Blackwell Deception,2012-01-13,97,272,8.99,4.49,50.0
773,Narcissu 10th Anniversary Anthology Project,2016-01-27,97,262,2.99,,
774,Zwei: The Ilvard Insurrection,2017-10-31,97,255,19.99,,
775,Chicken Invaders 4,2014-06-06,97,248,4.99,,
776,Bullet Heaven 2,2015-12-07,97,243,10.99,,
777,Winds of Change,2019-08-21,97,244,19.99,15.99,20.0
778,Stardew Valley Soundtrack,2016-02-26,97,217,4.99,,
779,Europa Universalis IV: Sabaton Soundtrack,2015-12-01,97,219,2.99,1.49,50.0
780,HyperRogue,2015-01-16,97,216,8.19,,
781,DX-Ball 2: Deluxe Anniversary Edition,,97,214,11.8,,
782,DX-Ball 2: 20th Anniversary Edition,2018-11-21,97,210,5.69,,
783,Chroma Lab,2017-08-22,97,211,4.99,,
784,NEKOPARA OVA Extra,2018-07-26,97,199,3.99,,
785,Tametsi,2017-10-18,97,186,2.35,0.77,67.0
786,Squidlit,2018-03-02,97,183,1.59,,
787,《丽丽公主》Bundle,,97,183,1.34,,
788,Maitetsu,2018-06-29,97,181,12.49,,
789,ooK INside,2020-01-22,97,178,6.99,,
790,Fallen Hero: Rebirth,2018-03-15,97,179,3.29,,
791,Higurashi When They Cry Hou - Ch. 5 Meakashi,2017-04-28,97,170,7.99,,
792,How to Raise a Wolf Girl,2019-10-11,97,167,16.79,,
793,Pizza Game,2019-09-06,97,166,8.19,,
794,Pajama Sam 3: You Are What You Eat From Your Head To Your Feet,2014-05-15,97,163,6.99,,
795,Lucah: Born of a Dream,2018-08-21,97,154,12.49,,
796,Mini Healer,2020-04-24,97,148,6.59,,
797,TAISHO x ALICE episode 1,2019-11-27,97,150,20.99,,
798,Figure Quest,2019-03-11,97,149,0.79,,
799,Return to Shironagasu Island,2020-03-02,97,145,3.99,,
800,Skullgirls 2nd Encore Upgrade,2016-04-13,97,140,14.99,,
801,w life.,2020-05-15,97,139,2.39,,
802,STEINS;GATE: My Darling's Embrace,2019-12-10,97,137,24.99,,
803,Voidspire Tactics,2015-11-02,97,137,14.99,,
804,Pajama Sam 2: Thunder And Lightning Aren't So Frightening,2014-05-01,97,135,6.99,,
805,Chicken Invaders 2,2016-03-04,97,137,3.99,,
806,Boring Man: Premium!,2015-02-20,97,131,4.99,,
807,Higurashi When They Cry Hou - Ch.6 Tsumihoroboshi,2018-06-14,97,127,6.59,,
808,Monster Hunter: World - The Handler's Tyrant Costume,2020-02-05,97,125,2.99,,
809,LOVE 2: kuso,2017-11-07,97,117,4.99,,
